,state,year,total_votes,dem_votes,rep_votes,other_votes,green_votes,unemployment_rate,median_income,med_age,bach_per,total_pop,dem_votes_per,rep_votes_per,other_votes_per,green_votes_per,voter_participation
118,KANSAS,2008,1235872,514765.0,699655.0,21452.0,,4.6,67120.0,46.0,0.3007271657934529,2808076,0.41651967194013617,0.5661225434349189,0.01735778462494498,,0.4401134442230196
119,KENTUCKY,2008,1826508,751985.0,1048462.0,26061.0,,6.5,57690.0,45.0,0.20063792540898442,4289878,0.411706381795207,0.5740254080463923,0.01426821015840062,,0.4257715487480064
120,LOUISIANA,2008,1959085,781574.0,1148015.0,29496.0,,4.7,55460.0,45.0,0.23236174114467714,4435586,0.3989484887077386,0.5859955030026772,0.015056008289584168,,0.441674448426882
121,MAINE,2008,731163,421923.0,295273.0,13967.0,,5.4,66210.0,48.0,0.2409321105403978,1330509,0.5770573729797597,0.40384018337908234,0.01910244364115799,,0.5495363052786565
122,MARYLAND,2008,2631596,1629467.0,959862.0,42267.0,,4.3,89320.0,45.0,0.29907987765541133,5684965,0.6191934476264593,0.364745196451127,0.016061355922413624,,0.4629045209601115
123,MASSACHUSETTS,2008,3081336,1904103.0,1108885.0,68348.0,,5.3,84560.0,45.0,0.3107717938469657,6468967,0.6179472151040977,0.35987149729857437,0.022181287597327914,,0.4763258183261717
124,MICHIGAN,2008,5001766,2872579.0,2048639.0,80548.0,,8.2,69800.0,46.0,0.24408508529275613,9946889,0.5743129526651187,0.4095831352366344,0.016103912098246898,,0.5028472721471005
125,MINNESOTA,2008,2910369,1573354.0,1275409.0,61606.0,,5.4,77000.0,45.0,0.31625178733204534,5247018,0.5406029269827984,0.43822931044139074,0.021167762575810833,,0.5546710531581939
126,MISSISSIPPI,2008,1285259,554662.0,724497.0,6100.0,,6.7,51090.0,44.0,0.220512958568731,2947806,0.4315565967637651,0.5636972781361578,0.004746125100077105,,0.43600528664369365
127,MISSOURI,2008,2925205,1441911.0,1445814.0,37480.0,,6.1,64540.0,46.0,0.25037379875374366,5923916,0.49292647865705136,0.49426074411878823,0.012812777224160358,,0.4937958269496056
128,MONTANA,2008,496072,232156.0,243860.0,20056.0,,4.7,60140.0,48.0,0.28488440733914006,976415,0.46798851779580386,0.4915818671483172,0.040429615055878984,,0.5080544645463251
129,NEBRASKA,2008,801281,333319.0,452979.0,14983.0,,3.2,,46.0,0.28536585698187916,1796378,0.415982657769247,0.5653185336979162,0.018698808532836796,,0.4460536702186288
130,NEVADA,2008,967848,533736.0,412827.0,21285.0,,6.9,76750.0,45.0,0.24868173150721254,2653630,0.551466759243187,0.42654115108984053,0.0219920896669725,,0.36472605449893164
131,NEW HAMPSHIRE,2008,710970,384826.0,316534.0,9610.0,,3.8,92770.0,46.0,0.2976772849744893,1315906,0.5412689705613458,0.44521428470962204,0.013516744729032167,,0.5402893519749891
132,NEW JERSEY,2008,3838498,2215422.0,1613207.0,9869.0,,5.4,91550.0,45.0,0.31142338057647717,8711090,0.5771585656681337,0.42027037659000993,0.0025710577418563197,,0.44064497095082245
